key,title,abstract$,start_period,end_period,further_information_link,addendum,key:practicum
practicum-session-17,Sesión de práctica,<h1>Hola Mundo!</h1>,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-18,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 00:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-19,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 23:59,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-20,Sesión de práctica,Esto es una sesión de práctica profesional.,2022/01/01 00:00,2022/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-21,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 12:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-22,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 11:59,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-23,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/06 00:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-24,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/06 00:01,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-25,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/12/31 23:59,2022/02/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-26,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/12/31 00:00,2022/02/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-27,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 00:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-28,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 23:59,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-29,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2022/01/01 00:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-30,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 12:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-31,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 11:59,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-32,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/08/28 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-33,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/08/28 17:01,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-34,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/12/31 00:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-35,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/12/31 23:59,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-36,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/06 00:00,2021/08/13 00:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-37,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2022/07/30 00:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-38,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,null,false,practicum-01
practicum-session-39,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,ftp://user:pass@acme.org,false,practicum-01
practicum-session-40,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,true,practicum-01
practicum-session-41,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-02
practicum-session-42,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-03
practicum-session-43,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-30
practicum-session-44,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-31
